col0,col1,col2,col3
Großharbach,5.4,UTC+01:00,Ortsteil
Tauberscheckenbach,3.12,UTC+01:00,Ortsteil
Seethen,10,UTC+01:00,Ortsteil
Sichau,25.25,UTC+01:00,Ortsteil
Anderslöv,138,UTC+01:00,urban area in Sweden
Klagstorp,106,UTC+01:00,urban area in Sweden
Bernlohe,3.78,UTC+01:00,village with a church
Petersgmünd,4.71,UTC+01:00,village with a church
Bechthal,3.106,UTC+01:00,village with a church
Anderslöv,138,UTC+01:00,village with a church
Wamberg,13.5002,UTC+01:00,village with a church
Klagstorp,106,UTC+01:00,village with a church
Bernlohe,3.78,UTC+01:00,Ortsteil
Petersgmünd,4.71,UTC+01:00,Ortsteil
