col0,col1,col2,col3,col4
Typhoon Matmo,85,2014 Pacific typhoon season,typhoon,2014-07-16
Tropical Storm Vamco,35,2015 Pacific typhoon season,cyclone,2015-09-13
Tropical Storm Etau,60,2015 Pacific typhoon season,cyclone,2015-09-06
Typhoon Goni,120,2015 Pacific typhoon season,cyclone,2015-08-13
Tropical Storm Linfa,82,2015 Pacific typhoon season,cyclone,2015-07-01
Typhoon Dolphin,140,2015 Pacific typhoon season,cyclone,2015-05-06
Typhoon Noul,140,2015 Pacific typhoon season,cyclone,2015-05-02
Tropical Storm Bavi,50,2015 Pacific typhoon season,cyclone,2015-03-10
Typhoon Maysak,150,2015 Pacific typhoon season,cyclone,2015-03-26
Tropical Storm Jangmi,45,2014 Pacific typhoon season,cyclone,2014-12-27
Typhoon Hagupit,155,2014 Pacific typhoon season,cyclone,2014-11-30
Typhoon Nuri,155,2014 Pacific typhoon season,cyclone,2014-10-30
Typhoon Vongfong,155,2014 Pacific typhoon season,cyclone,2014-10-01
Typhoon Phanfone,135,2014 Pacific typhoon season,cyclone,2014-09-27
