col0,col1,col2,col3,col4
2013 Tour de l'Avenir,Simon Yates,Simon Yates,2012 Tour de l'Avenir,Norwegian men's U23 national road cycling team 2013
2010 Tour de l'Avenir,John Degenkolb,Darwin Atapuma,2009 Tour de l'Avenir,French men's U23 national road cycling team 2010
2014 Tour de l'Avenir,Ilya Davidenok,Miguel Ángel López,2013 Tour de l'Avenir,French men's U23 national road cycling team 2014
2013 Tour de l'Avenir,Simon Yates,Toms Skujiņš,2012 Tour de l'Avenir,Norwegian men's U23 national road cycling team 2013
2012 Tour de l'Avenir,Mattia Cattaneo,Mattia Cattaneo,2011 Tour de l'Avenir,United States men's U23 national road cycling team 2012
2013 Tour de l'Avenir,Jasper Stuyven,Oskar Svendsen,2012 Tour de l'Avenir,French men's U23 national road cycling team 2013
2012 Tour de l'Avenir,Mattia Cattaneo,Mattia Cattaneo,2011 Tour de l'Avenir,Austrian men's U23 national road cycling team 2012
2013 Tour de l'Avenir,Patrick Konrad,Ruben Fernandez Andujar,2012 Tour de l'Avenir,Norwegian men's U23 national road cycling team 2013
2010 Tour de l'Avenir,Romain Hardy,Andrew Talansky,2009 Tour de l'Avenir,German men's U23 national road cycling team 2010
2014 Tour de l'Avenir,Asbjørn Kragh Andersen,Louis Vervaeke,2013 Tour de l'Avenir,French men's U23 national road cycling team 2014
2011 Tour de l'Avenir,Georg Preidler,Mattia Cattaneo,2010 Tour de l'Avenir,Mixed men's U23 UCI road cycling team
2013 Tour de l'Avenir,Adam Yates,Gavin Mannion,2012 Tour de l'Avenir,United States men's U23 national road cycling team 2013
2012 Tour de l'Avenir,Sergey Chernetskiy,Sergey Chernetskiy,2011 Tour de l'Avenir,Austrian men's U23 national road cycling team 2012
