col0,col1,col2,col3,col4
Shiqqat Jahwīlah,Saudi Arabia,Eastern Province,152,depression
Shiqqat Ibn Dukhayyil,Saudi Arabia,Eastern Province,199,depression
Shiqqat ar Raqbā',Saudi Arabia,Eastern Province,183,depression
Shiqqat al ‘Arfaj,Saudi Arabia,Eastern Province,230,depression
Shiqqat al Ḩujūl,Saudi Arabia,Eastern Province,232,depression
Shiqqat al Ḩithrā',Saudi Arabia,Eastern Province,233,depression
Shiqqat al Ḩawāyā,Saudi Arabia,Eastern Province,344,depression
Shiqqat al Biţīnah,Saudi Arabia,Eastern Province,201,depression
Shiqqat al Barzah,Saudi Arabia,Eastern Province,201,depression
Shiqqat Abū ‘Idbūlah,Saudi Arabia,Eastern Province,194,depression
Shiqqat Abū Nahr,Saudi Arabia,Eastern Province,205,depression
Sayḩ Qaţ‘ā',Saudi Arabia,Eastern Province,45,depression
Sayḩ al ‘Izibah,Saudi Arabia,Eastern Province,49,depression
Sawḩ al ‘Ajram,Saudi Arabia,Ha'il Region,724,depression
Sabkhat Hudī,Saudi Arabia,Eastern Province,94,depression
