col0,col1,col2,col3,col4,col5,col6,col7
MusicBrainz label ID,MusicBrainz,Wikidata property to identify record labels,MusicBrainz release ID,MusicBrainz,single value constraint,Monstercat,166392
MusicBrainz instrument ID,MusicBrainz,Wikidata property related to music,MusicBrainz artist ID,MusicBrainz,single value constraint,accordion,955
MusicBrainz place ID,MusicBrainz,Wikidata property related to music,MusicBrainz area ID,MusicBrainz,single value constraint,Abbey Road Studios,37427
MusicBrainz instrument ID,MusicBrainz,"Wikidata property for authority control, with reciprocal use of Wikidata",MusicBrainz artist ID,MusicBrainz,single value constraint,accordion,955
MusicBrainz place ID,MusicBrainz,"Wikidata property for authority control, with reciprocal use of Wikidata",MusicBrainz area ID,MusicBrainz,single value constraint,Abbey Road Studios,37427
MusicBrainz area ID,MusicBrainz,"Wikidata property for authority control, with reciprocal use of Wikidata",MusicBrainz release ID,MusicBrainz,single value constraint,Berlin,117857
MusicBrainz place ID,MusicBrainz,Wikidata property for authority control for places,MusicBrainz area ID,MusicBrainz,single value constraint,Abbey Road Studios,37427
MusicBrainz area ID,MusicBrainz,Wikidata property for authority control for places,MusicBrainz release ID,MusicBrainz,single value constraint,Berlin,117857
WikiTree person ID,WikiTree,Wikidata property related to genealogy,WikiTree category or space,WikiTree,single value constraint,Ludwig van Beethoven,22034981
MusicBrainz series ID,MusicBrainz,Wikidata property to identify musical works,MusicBrainz artist ID,MusicBrainz,single value constraint,Bach-Werke-Verzeichnis,10215
MusicBrainz instrument ID,MusicBrainz,Wikidata property related to music,MusicBrainz artist ID,MusicBrainz,type constraint,accordion,955
WikiTree person ID,WikiTree,"Wikidata property for authority control, with reciprocal use of Wikidata",WikiTree category or space,WikiTree,single value constraint,Ludwig van Beethoven,22034981
MusicBrainz series ID,MusicBrainz,"Wikidata property for authority control, with reciprocal use of Wikidata",MusicBrainz artist ID,MusicBrainz,single value constraint,Bach-Werke-Verzeichnis,10215
MusicBrainz instrument ID,MusicBrainz,"Wikidata property for authority control, with reciprocal use of Wikidata",MusicBrainz artist ID,MusicBrainz,type constraint,accordion,955
WikiTree person ID,WikiTree,Wikidata property for authority control for people,WikiTree category or space,WikiTree,single value constraint,Ludwig van Beethoven,22034981
