col0,col1,col2,col3,col4,col5,col6
Winn Parish,Louisiana,parish of Louisiana,957,Winnfield,Winfield Scott,Winn Parish
West Carroll Parish,Louisiana,parish of Louisiana,361,Oak Grove,Charles Carroll,West Carroll Parish
Morehouse Parish,Louisiana,parish of Louisiana,2085,Bastrop,Abraham Morehouse,Morehouse Parish
Webster Parish,Louisiana,parish of Louisiana,615,Minden,Daniel Webster,Webster Parish
West Feliciana Parish,Louisiana,parish of Louisiana,426,St. Francisville,"Bernardo de Gálvez y Madrid, Count of Gálvez",West Feliciana Parish
St. Martin Parish,Louisiana,parish of Louisiana,2115,St. Martinville,Martin of Tours,St. Martin Parish
Assumption Parish,Louisiana,parish of Louisiana,944,Napoleonville,Assumption of Mary,Assumption Parish
Vermilion Parish,Louisiana,parish of Louisiana,3984,Abbeville,Vermilion River,Vermilion Parish
Madison Parish,Louisiana,parish of Louisiana,1685,Tallulah,James Madison,Madison Parish
St. Charles Parish,Louisiana,parish of Louisiana,1062,Hahnville,Charles Borromeo,St. Charles Parish
St. Mary Parish,Louisiana,parish of Louisiana,2898,Franklin,Virgin Mary,St. Mary Parish
