col0,col1,col2,col3,col4,col5,col6,col7
quai de la Garonne,rue Germaine-Tailleferre,France,pier,Garonne,19th arrondissement of Paris,140,20
quai de la Corse,quai de l'Horloge,France,pier,Corsica,4th arrondissement of Paris,280,15
quai de la Charente,avenue Corentin-Cariou,France,pier,Charente,19th arrondissement of Paris,790,12
quai de l'Oise,rue de Nantes,France,pier,Oise,19th arrondissement of Paris,650,14.3
quai de la Garonne,rue Germaine-Tailleferre,France,private road,Garonne,19th arrondissement of Paris,140,20
quai Louis-Blériot,rue de Boulainvilliers,France,pier,Louis Blériot,16th arrondissement of Paris,1620,13
quai Henri-IV,boulevard Henri-IV,France,pier,Henry IV of France,4th arrondissement of Paris,500,20
quai François-Mauriac,rue Abel-Gance,France,pier,François Mauriac,13th arrondissement of Paris,475,25
quai Anatole-France,quai d'Orsay,France,pier,Anatole France,7th arrondissement of Paris,585,19.9
quai André-Citroën,avenue Émile-Zola,France,pier,André Citroën,15th arrondissement of Paris,1450,47
quai Voltaire,quai Malaquais,France,pier,Voltaire,7th arrondissement of Paris,308,21
quai de Bercy,avenue des Terroirs-de-France,France,pier,Bercy,12th arrondissement of Paris,1971,14
quai d'Orléans,quai de Béthune,France,pier,"Gaston, Duke of Orléans",4th arrondissement of Paris,275,7.6
