col0,col1,col2,col3
First Siege of Missolonghi,Missolonghi,battle,Ottoman Empire
Siege of Naples,Naples,siege,Holy Roman Empire
Siege of Arta,Artà,siege,Almohad Caliphate
Siege of Fort Ticonderoga,New York,siege,United States of America
Battle of Grozny,City of Grozny,siege,Shamil Basayev
Siege of Futamata,Tenryū Ward,siege,Takeda Shingen
Siege of Noda Castle,Aichi Prefecture,siege,Takeda Shingen
Siege of Fort Ticonderoga,New York,battle,United States of America
Battle of Grozny,City of Grozny,battle,Shamil Basayev
Siege of the Acropolis,Athens,battle,Ottoman Empire
Siege of Bastogne,Bastogne,siege,United States of America
Third Siege of Missolonghi,Missolonghi,battle,Ottoman Empire
