col0,col1,col2,col3,col4
Mausoleum of Omar Khayyam,Hooshang Seyhoun,1963-01-01,Nishapur County,Iran
Juselius Mausoleum,Josef Stenbäck,1903-01-01,Pori,Finland
Mausoleu de Jaume I,Lluís Domènech i Montaner,1906-01-01,Tarragona,Spain
Panteó Garí,Josep Puig i Cadafalch,1903-01-01,Esplugues de Llobregat,Spain
Panteó Sallarés Deu,Eduard Maria Balcells i Buïgas,1916-01-01,Sabadell,Spain
Panteó Sensat Pagès,Bonaventura Bassegoda i Amigó,1907-01-01,El Masnou,Spain
Panteó de la família Vidal Xaus,Joan Amigó i Barriga,1920-01-01,Tiana,Spain
Panteó de la família Bosch,Joan Amigó i Barriga,1907-01-01,Badalona,Spain
Panteó Comte de Torregrossa,Francesc de Paula Morera i Gatell,1912-01-01,Lleida,Spain
Mausoleu de la Família Casas,Josep Puig i Cadafalch,1898-01-01,Sant Feliu de Guíxols,Spain
Tomba Carol,Eduard Maria Balcells i Buïgas,1918-01-01,Sabadell,Spain
tomb of Hafez,André Godard,1935-01-01,Shiraz,Iran
Georgi Dimitrov Mausoleum,Georgi Ovcharov,1949-07-10,Sofia,Bulgaria
Selve-Mausoleum,Eduard Endell,1909-01-01,Lüdenscheid,Germany
Lenin's Mausoleum,Alexey Shchusev,1930-01-01,Moscow,Russia
