col0,col1,col2,col3,col4
Via romana de Braga ao Porto,Roman road,Castêlo da Maia,National Monument of Portugal,Portugal
"Via Antiga do Sintrão, Fraga do Ladrão",Roman road,Trancoso (São Pedro e Santa Maria) e Souto Maior,Immovable Cultural Heritage of Public Interest,Portugal
Troço de calçada romana dos Galhardos,Roman road,Folgosinho,Immovable Cultural Heritage of Public Interest,Portugal
Calçada Romana de Celorico da Beira,Roman road,Celorico (São Pedro e Santa Maria) e Vila Boa do Mondego,heritage without legal protection,Portugal
"Via de Lisboa a Mérida, 2 marcos miliários",Roman road,Évora,National Monument of Portugal,Portugal
Vias antigas em Alpedrinha e Castelo Novo,Roman road,Alpedrinha,Immovable Cultural Heritage of Public Interest,Portugal
Troço de calçada romana junto à estação de caminho de ferro da Covilhã,Roman road,Covilhã e Canhoso,Immovable Cultural Heritage of Public Interest,Portugal
"Geira - 35 marcos miliários, série Capela",Roman road,Chamoim e Vilar,National Monument of Portugal,Portugal
Estrada lusitano-romana,Roman road,Póvoa de Lanhoso (Nossa Senhora do Amparo),Immovable Cultural Heritage of Public Interest,Portugal
"Via de Braga a Guimarães, 2 marcos miliários",Roman road,"Oliveira, São Paio e São Sebastião",National Monument of Portugal,Portugal
Braga,Roman road,"Braga (Maximinos, Sé e Cividade)",National Monument of Portugal,Portugal
Troço de via romana no lugar de Ereira,Roman road,Talhadas,Immovable Cultural Heritage of Public Interest,Portugal
Troço da via antiga de Mosteiró,Roman road,São Miguel do Souto e Mosteirô,Immovable Cultural Heritage of Public Interest,Portugal
