col0,col1,col2,col3,col4,col5,col6
Pair of Andirons,Pair of Andirons (Chenets),public domain,1752-01-01,woodwork,Cleveland Museum of Art,Jacques Caffieri
"Doorway from the Isaac Gillet House, Painesville, Ohio","Doorway from the Isaac Gillet House, Painesville, Ohio",public domain,1821-01-01,woodwork,Cleveland Museum of Art,Jonathan Goldsmith
Pair of Andirons,Pair of Andirons (Chenets),public domain,1752-01-01,woodwork,Cleveland Museum of Art,Jacques Caffieri
Tall- case Clock,Tall- case Clock (Regulateur),public domain,1744-01-01,woodwork,Cleveland Museum of Art,Jean-Pierre Latz
Pair of Andirons,Pair of Andirons (Chenets),public domain,1752-01-01,woodwork,Cleveland Museum of Art,Jacques Caffieri
Secretary,Secretary,copyrighted,1911-01-01,woodwork,Cleveland Museum of Art,Henry Mather Greene
Pair of Andirons,Pair of Andirons (Chenets),public domain,1752-01-01,item of collection or exhibition,Cleveland Museum of Art,Jacques Caffieri
"Doorway from the Isaac Gillet House, Painesville, Ohio","Doorway from the Isaac Gillet House, Painesville, Ohio",public domain,1821-01-01,item of collection or exhibition,Cleveland Museum of Art,Jonathan Goldsmith
Pair of Andirons,Pair of Andirons (Chenets),public domain,1752-01-01,item of collection or exhibition,Cleveland Museum of Art,Jacques Caffieri
Tall- case Clock,Tall- case Clock (Regulateur),public domain,1744-01-01,item of collection or exhibition,Cleveland Museum of Art,Jean-Pierre Latz
Pair of Andirons,Pair of Andirons (Chenets),public domain,1752-01-01,item of collection or exhibition,Cleveland Museum of Art,Jacques Caffieri
Secretary,Secretary,copyrighted,1911-01-01,item of collection or exhibition,Cleveland Museum of Art,Henry Mather Greene
