col0,col1,col2,col3,col4,col5
2018 Junior Grand Prix Lithuania - ice dancing free dance,Francesca Righi,Žalgiris Arena,Galit Chait,free dance,Arina Ushakova
2018 Junior Grand Prix Armenia - ice dance free dance,Arina Ushakova,Irina Rodnina Figure Skating Centre,Csaba Bálint,free dance,Arina Ushakova
2018 CS Finlandia Trophy - ice dance free dance,Alexandra Stepanova,Espoo Metro Areena,Roxane Petetin,free dance,Alexandra Stepanova
2018 Grand Prix of Helsinki - ice dance free dance,Juulia Turkkila,Hartwall Arena,Candice Towler-Green,free dance,Alexandra Stepanova
2018 Skate Canada International - ice dance free dance,Anastasia Skoptsova,Place Bell,Jeroen Prins,free dance,Nikita Katsalapov
Bosphorus Istanbul Cup 2018 - senior ice dance free dance,Shari Koch,Silivrikapı Ice Skating Hall,Candice Towler-Green,free dance,Egor Bazin
2018 Christmas Cup - senior ice dance free dance,Anna Yanovskaya,Budapest,Olga Akimova,free dance,Ádám Lukács
2018 CS Tallinn Trophy - ice dance free dance,Sofia Evdokimova,Tallinn Arena,Olga Akimova,free dance,Anthony Ponomarenko
2018 Junior Grand Prix Armenia - ice dance free dance,Arina Ushakova,Irina Rodnina Figure Skating Centre,Csaba Bálint,free dance,Maxim Nekrasov
2018 CS Finlandia Trophy - ice dance free dance,Juulia Turkkila,Espoo Metro Areena,Roxane Petetin,free dance,Alexandra Stepanova
2018 Junior Grand Prix Slovenia - ice dance free dance,Alina Efimova,Tivoli Hall,Kristin Fraser,free dance,Avonley Nguyen
2018 Skate Canada International - ice dance free dance,Madison Hubbell,Place Bell,Jeroen Prins,free dance,Victoria Sinitsina
