col0,col1,col2,col3,col4,col5
Hatari,C,free software,Unix-like,Atari ST,GNU General Public License
VICE,C,free software,QNX,Commodore 64,"GNU General Public License, version 2.0"
Mednafen,C++,emulator,OpenBSD,Sega Mega Drive,"GNU General Public License, version 2.0 or later"
UAE,C++,68k emulator,Microsoft Windows,Commodore Amiga,GNU General Public License
Mednafen,C++,emulator,Linux,Sega Mega Drive,"GNU General Public License, version 2.0 or later"
UAE,C++,emulator,Microsoft Windows,Commodore Amiga,GNU General Public License
Mednafen,C++,emulator,FreeBSD,Sega Mega Drive,"GNU General Public License, version 2.0 or later"
VICE,C,free software,macOS,Commodore 64,"GNU General Public License, version 2.0"
Fuse,C,ZX Spectrum emulator,Linux,ZX Spectrum,GNU General Public License
Previous,C,emulator,Linux,NeXTstation,GNU General Public License
openMSX,C++,emulator,Microsoft Windows,MSX,GNU General Public License
Fuse,C,emulator,Linux,ZX Spectrum,GNU General Public License
Snes9x,C++,software,PlayStation Portable,Super Nintendo Entertainment System,MIT license
