col0,col1,col2,col3,col4
Azul Partido,Province of Buenos Aires,127,Benito Juárez,Azul
General Pueyrredón,Province of Buenos Aires,94,Balcarce,Mar del Plata
General La Madrid,Province of Buenos Aires,196,Coronel Pringles,General La Madrid
Laprida,Province of Buenos Aires,212,Coronel Pringles,Laprida
Coronel Suárez,Province of Buenos Aires,239,Coronel Pringles,Coronel Suárez
Coronel Dorrego,Province of Buenos Aires,131,Coronel Pringles,Coronel Dorrego
Balcarce,Province of Buenos Aires,133,Lobería,Balcarce
Lobería,Province of Buenos Aires,93,Balcarce,Lobería
Benito Juárez,Province of Buenos Aires,232,Laprida,Benito Juárez
Adolfo Gonzales Chaves,Province of Buenos Aires,185,Coronel Pringles,Adolfo Gonzales Chaves
Coronel Pringles,Province of Buenos Aires,348,Coronel Rosales,Coronel Pringles
Bahía Blanca,Province of Buenos Aires,23,Coronel Pringles,Bahía Blanca
Pila Partido,Province of Buenos Aires,17,Ayacucho Partido,"Pila, Buenos Aires"
La Matanza Partido,Province of Buenos Aires,15,Ezeiza Partido,San Justo
Rauch Partido,Province of Buenos Aires,57,Ayacucho Partido,Rauch
