col0,col1,col2,col3,col4
CONOR ID,CONOR,VIAF component,Slovenia,type constraint
NTA ID,Koninklijke Bibliotheek,VIAF component,Netherlands,type constraint
SBN author ID,National Library Service of Italy,VIAF component,Italy,type constraint
SELIBR ID,LIBRIS,VIAF component,Sweden,type constraint
Rotten Tomatoes ID,Rotten Tomatoes,prefix,United States of America,type constraint
CANTIC ID,Name and Title Authority File of Catalonia,VIAF component,Spain,type constraint
NSZL ID,National Széchényi Library,VIAF component,Hungary,type constraint
NORAF ID,Norwegian authority file,VIAF component,Norway,type constraint
CiNii author ID,CiNii,prefix,Japan,type constraint
National Library of Israel ID,National Library of Israel,VIAF component,Israel,item requires statement constraint
Vatican Library ID,Vatican Library,VIAF component,Vatican City,item requires statement constraint
NTA ID,Koninklijke Bibliotheek,VIAF component,Netherlands,item requires statement constraint
Rotten Tomatoes ID,Rotten Tomatoes,prefix,United States of America,item requires statement constraint
NORAF ID,Norwegian authority file,VIAF component,Norway,item requires statement constraint
