col0,col1,col2,col3
Affoltern,Zürich,statistical neighborhood of Zürich,26177
Sihlfeld,Zürich,statistical neighborhood of Zürich,21660
Seebach,Zürich,statistical neighborhood of Zürich,25817
Oerlikon,Zürich,statistical neighborhood of Zürich,22815
Albisrieden,Zürich,statistical neighborhood of Zürich,22113
Hochschulen,Zürich,statistical neighborhood of Zürich,677
Hirslanden,Zürich,former municipality of Switzerland,7465
Höngg,Zürich,former municipality of Switzerland,24020
Altstetten,Zürich,former municipality of Switzerland,32603
Witikon,Zürich,former municipality of Switzerland,10600
