col0,col1,col2,col3
Igunga District,Tabora Region,Tanzania,district of Tanzania
Gairo District,Morogoro Region,Tanzania,district of Tanzania
Chato District,Geita Region,Tanzania,district of Tanzania
Bukombe District,Geita Region,Tanzania,district of Tanzania
Nkasi District,Rukwa Region,Tanzania,district of Tanzania
Mvomero District,Morogoro Region,Tanzania,district of Tanzania
Karagwe District,Kagera Region,Tanzania,district of Tanzania
Iringa Urban District,Iringa Region,Tanzania,district of Tanzania
Sumbawanga Urban District,Rukwa Region,Tanzania,district of Tanzania
Morogoro Urban District,Morogoro Region,Tanzania,district of Tanzania
Dodoma Urban District,Dodoma Region,Tanzania,district of Tanzania
