col0,col1,col2,col3,col4
Overthrow of the Roman monarchy,historical event,-0508-01-01T00:00:00Z,ancient Rome,ancient Rome
French Revolution,historical event,1799-11-09,France,France
Haitian Revolution,slave rebellion,1804-01-01,Saint-Domingue,Saint-Domingue
Overthrow of the Roman monarchy,conflict,-0508-01-01T00:00:00Z,ancient Rome,ancient Rome
March Revolution,conflict,1845-06-17,Ecuador,Ecuador
Overthrow of the Roman monarchy,revolution,-0508-01-01T00:00:00Z,ancient Rome,ancient Rome
March Revolution,revolution,1845-06-17,Ecuador,Ecuador
Revolution in the Kingdom of Poland,revolution,1907-01-01,Congress Poland,Russian Empire
Nicaraguan Revolution,revolution,1990-01-01,Nicaragua,Nicaragua
Indonesian National Revolution,revolution,1949-12-27,Indonesia,Indonesia
Brabant Revolution,revolution,1790-12-03,Austrian Netherlands,Austrian Netherlands
Haitian Revolution,revolution,1804-01-01,Saint-Domingue,Saint-Domingue
Philippine Revolution,revolution,1898-01-01,Philippines,Philippines
Belgian Revolution,revolution,1831-07-21,Belgium,Belgium
Mexican Revolution,revolution,1920-05-21,Mexico,Mexico
