col0,col1,col2,col3
Wikidata Query Service,Wikidata,geographic map,Wikidata front end
Reasonator,Wikidata,direct superclass,Wikidata front end
Wikidata Query Service,Wikidata,geographic map,online service
Reasonator,Wikidata,direct superclass,online service
Harvest Templates,Wikidata,Wikidata–Wikipedia comparison,free software
SQID,Wikidata,direct subclasses,Wikidata front end
OSM ↔ Wikidata matcher,Overpass Turbo,OpenStreetMap,Wikidata tool
Harvest Templates,Wikidata,Wikidata–Wikipedia comparison,Wikidata tool
OSM ↔ Wikidata matcher,Overpass Turbo,OpenStreetMap,online service
Wikidata class browser,Wikidata,direct subclasses,online service
SQID,Wikidata,direct subclasses,online service
Harvest Templates,Wikidata,Wikidata–Wikipedia comparison,online service
