col0,col1,col2,col3
Vision in Silver,Vision in Silver,The Others,2015-01-01
Murder of Crows,Murder of Crows,The Others,2014-01-01
Written in Red,Written in Red,The Others,2013-01-01
Revenant Gun,Revenant Gun,Machineries of Empire,2018-06-12
Raven Stratagem,Raven Stratagem,Machineries of Empire,2017-06-13
Ninefox Gambit,Ninefox Gambit,Machineries of Empire,2016-06-01
The Will to Battle,The Will to Battle,Terra Ignota,2017-12-19
Burn Bright,Burn Bright,Alpha and Omega,2018-01-01
Tiamat's Wrath,Tiamat's Wrath,The Expanse,2019-03-26
Captain Future's Challenge,Captain Future's Challenge,Captain Future,1940-01-01
The Last Magician,The Last Magician,The Last Magician,2018-01-01
The Collapsing Empire,The Collapsing Empire,The Interdependency,2017-03-21
"The Long Way to a Small, Angry Planet","The Long Way to a Small, Angry Planet",Wayfarers series,2014-01-01
Luna: Wolf Moon,Luna: Wolf Moon,Luna series,2017-03-23
Doctor Mirabilis,Doctor Mirabilis,After Such Knowledge,1964-01-01
