col0,col1,col2,col3,col4,col5,col6
Healesville,Australia,gazetted locality of Victoria,3541,Richard Heales,Victoria,3928
Brunswick,Australia,gazetted locality of Victoria,11937,Caroline of Brunswick,Melbourne,12538
Berwick,Australia,gazetted locality of Victoria,23167,Berwick-upon-Tweed,Melbourne,24508
Beaufort,Australia,gazetted locality of Victoria,762,Francis Beaufort,Victoria,776
Beaconsfield,Australia,gazetted locality of Victoria,3363,Benjamin Disraeli,Victoria,3345
Coburg,Australia,gazetted locality of Victoria,12665,Alfred,Victoria,13519
Trafalgar,Australia,gazetted locality of Victoria,1877,Cape Trafalgar,Victoria,2039
Carlton,Australia,gazetted locality of Victoria,8529,Carlton House,Melbourne,10013
Fitzroy,Australia,gay village,5126,Charles FitzRoy,Victoria,5320
Braybrook,Australia,suburb,4667,Bray,Victoria,4535
Fitzroy,Australia,suburb,5126,Charles FitzRoy,Victoria,5320
Elwood,Australia,suburb,7309,Thomas Ellwood,Victoria,8241
Brunswick,Australia,suburb,11937,Caroline of Brunswick,Melbourne,12538
Berwick,Australia,suburb,23167,Berwick-upon-Tweed,Melbourne,24508
Beaconsfield,Australia,suburb,3363,Benjamin Disraeli,Victoria,3345
