col0,col1,col2,col3,col4,col5,col6,col7
2004 Czech International Badminton Championships,2003 Czech International Badminton Championships,2005 Czech International Badminton Championships,badminton,Czech International Badminton Championships,2004-01-01,2004 Czech International Badminton Championships – Men's doubles,2004-09-30
2005 Czech International Badminton Championships,2004 Czech International Badminton Championships,2006 Czech International Badminton Championships,badminton,Czech International Badminton Championships,2005-01-01,2005 Czech International Badminton Championships – Men's doubles,2005-09-29
2002 Czech International Badminton Championships,2001 Czech International Badminton Championships,2003 Czech International Badminton Championships,badminton,Czech International Badminton Championships,2002-01-01,2002 Czech International Badminton Championships – Men's doubles,2002-10-02
2001 Czech International Badminton Championships,2000 Czech International Badminton Championships,2002 Czech International Badminton Championships,badminton,Czech International Badminton Championships,2001-01-01,2001 Czech International Badminton Championships – Men's doubles,2001-10-04
2000 Czech International Badminton Championships,1999 Czech International Badminton Championships,2001 Czech International Badminton Championships,badminton,Czech International Badminton Championships,2000-01-01,2000 Czech International Badminton Championships – Men's doubles,2000-09-28
1999 Czech International Badminton Championships,1998 Czech International Badminton Championships,2000 Czech International Badminton Championships,badminton,Czech International Badminton Championships,1999-01-01,1999 Czech International Badminton Championships – Men's doubles,1999-09-30
1998 Czech International Badminton Championships,1997 Czech International Badminton Championships,1999 Czech International Badminton Championships,badminton,Czech International Badminton Championships,1998-01-01,1998 Czech International Badminton Championships – Men's doubles,1998-10-01
2011 Czech International Badminton Championships,2010 Czech International Badminton Championships,2012 Czech International Badminton Championships,badminton,Czech International Badminton Championships,2011-01-01,2011 Czech International Badminton Championships – Men's doubles,2011-09-29
2012 Czech International Badminton Championships,2011 Czech International Badminton Championships,2013 Czech International Badminton Championships,badminton,Czech International Badminton Championships,2012-01-01,2012 Czech International Badminton Championships – Men's doubles,2012-09-27
2010 Czech International Badminton Championships,2009 Czech International Badminton Championships,2011 Czech International Badminton Championships,badminton,Czech International Badminton Championships,2010-01-01,2010 Czech International Badminton Championships – Men's doubles,2010-09-30
2006 Czech International Badminton Championships,2005 Czech International Badminton Championships,2007 Czech International Badminton Championships,badminton,Czech International Badminton Championships,2006-01-01,2006 Czech International Badminton Championships – Men's doubles,2006-09-29
1997 Czech International Badminton Championships,1996 Czech International Badminton Championships,1998 Czech International Badminton Championships,badminton,Czech International Badminton Championships,1997-01-01,1997 Czech International Badminton Championships – Men's doubles,1997-10-02
2007 Czech International Badminton Championships,2006 Czech International Badminton Championships,2008 Czech International Badminton Championships,badminton,Czech International Badminton Championships,2007-01-01,2007 Czech International Badminton Championships – Men's doubles,2007-09-20
