col0,col1,col2,col3,col4,col5
"Alcohol consumption, drinking patterns, and ischemic heart disease: a narrative review of meta-analyses and a systematic review and meta-analysis of the impact of heavy drinking occasions on risk for moderate drinkers.",Alcohol and coronary heart disease: a meta-analysis.,Jürgen Rehm,BMC Medicine,Creative Commons Attribution,"Alcohol consumption, drinking patterns, and ischemic heart disease: a narrative review of meta-analyses and a systematic review and meta-analysis of the impact of heavy drinking occasions on risk for moderate drinkers."
Meta-analysis of drug-related deaths soon after release from prison.,The mortality of released Finnish prisoners; a 7 year follow-up study of the WATTU project.,Michael Farrell,Addiction,Creative Commons Attribution 2.5 Unported,Meta-analysis of drug-related deaths soon after release from prison.
"Alcohol consumption, drinking patterns, and ischemic heart disease: a narrative review of meta-analyses and a systematic review and meta-analysis of the impact of heavy drinking occasions on risk for moderate drinkers.",Alcohol consumption and mortality risks in the USA.,Jürgen Rehm,BMC Medicine,Creative Commons Attribution,"Alcohol consumption, drinking patterns, and ischemic heart disease: a narrative review of meta-analyses and a systematic review and meta-analysis of the impact of heavy drinking occasions on risk for moderate drinkers."
Meta-analysis of drug-related deaths soon after release from prison.,"Heroin-related deaths in New South Wales, 1992: toxicological findings and circumstances.",Michael Farrell,Addiction,Creative Commons Attribution 2.5 Unported,Meta-analysis of drug-related deaths soon after release from prison.
"Alcohol consumption, drinking patterns, and ischemic heart disease: a narrative review of meta-analyses and a systematic review and meta-analysis of the impact of heavy drinking occasions on risk for moderate drinkers.","Vital signs: binge drinking prevalence, frequency, and intensity among adults - United States, 2010.",Jürgen Rehm,BMC Medicine,Creative Commons Attribution,"Alcohol consumption, drinking patterns, and ischemic heart disease: a narrative review of meta-analyses and a systematic review and meta-analysis of the impact of heavy drinking occasions on risk for moderate drinkers."
Meta-analysis of drug-related deaths soon after release from prison.,High mortality rates among inmates during the year following their discharge from a French prison.,Michael Farrell,Addiction,Creative Commons Attribution 2.5 Unported,Meta-analysis of drug-related deaths soon after release from prison.
"Alcohol consumption, drinking patterns, and ischemic heart disease: a narrative review of meta-analyses and a systematic review and meta-analysis of the impact of heavy drinking occasions on risk for moderate drinkers.",A prospective study of the health effects of alcohol consumption in middle-aged and elderly men. The Honolulu Heart Program.,Jürgen Rehm,BMC Medicine,Creative Commons Attribution,"Alcohol consumption, drinking patterns, and ischemic heart disease: a narrative review of meta-analyses and a systematic review and meta-analysis of the impact of heavy drinking occasions on risk for moderate drinkers."
Meta-analysis of drug-related deaths soon after release from prison.,Mortality following release from prison.,Michael Farrell,Addiction,Creative Commons Attribution 2.5 Unported,Meta-analysis of drug-related deaths soon after release from prison.
"Alcohol consumption, drinking patterns, and ischemic heart disease: a narrative review of meta-analyses and a systematic review and meta-analysis of the impact of heavy drinking occasions on risk for moderate drinkers.","Trends in alcohol use and binge drinking, 1985-1999: results of a multi-state survey.",Jürgen Rehm,BMC Medicine,Creative Commons Attribution,"Alcohol consumption, drinking patterns, and ischemic heart disease: a narrative review of meta-analyses and a systematic review and meta-analysis of the impact of heavy drinking occasions on risk for moderate drinkers."
Meta-analysis of drug-related deaths soon after release from prison.,The death of offenders in England and Wales.,John Marsden,Addiction,Creative Commons Attribution 2.5 Unported,Meta-analysis of drug-related deaths soon after release from prison.
"Alcohol consumption, drinking patterns, and ischemic heart disease: a narrative review of meta-analyses and a systematic review and meta-analysis of the impact of heavy drinking occasions on risk for moderate drinkers.",Global and regional mortality from 235 causes of death for 20 age groups in 1990 and 2010: a systematic analysis for the Global Burden of Disease Study 2010,Jürgen Rehm,BMC Medicine,Creative Commons Attribution,"Alcohol consumption, drinking patterns, and ischemic heart disease: a narrative review of meta-analyses and a systematic review and meta-analysis of the impact of heavy drinking occasions on risk for moderate drinkers."
Soil-transmitted helminth reinfection after drug treatment: a systematic review and meta-analysis,"Survey for soil-transmitted helminths in Asahan Regency, North Sumatra, Indonesia.",Xiao-Nong Zhou,PLOS Neglected Tropical Diseases,Creative Commons Attribution 2.5 Unported,Soil-transmitted helminth reinfection after drug treatment: a systematic review and meta-analysis
Global Morbidity and Mortality of Leptospirosis: A Systematic Review,Influence of household rat infestation on leptospira transmission in the urban slum environment,Federico Costa,PLOS Neglected Tropical Diseases,Creative Commons Attribution 2.5 Unported,Global Morbidity and Mortality of Leptospirosis: A Systematic Review
Vitamin D supplementation and breast cancer prevention: a systematic review and meta-analysis of randomized clinical trials,Molecular basis of the potential of vitamin D to prevent cancer.,Marcella Mottolese,PLOS ONE,Creative Commons Attribution 4.0 International,Vitamin D supplementation and breast cancer prevention: a systematic review and meta-analysis of randomized clinical trials
Global Morbidity and Mortality of Leptospirosis: A Systematic Review,Rapid tests for diagnosis of leptospirosis: current tools and emerging technologies.,Federico Costa,PLOS Neglected Tropical Diseases,Creative Commons Attribution 2.5 Unported,Global Morbidity and Mortality of Leptospirosis: A Systematic Review
