col0,col1,col2,col3,col4,col5,col6,col7
2009 German Badminton Championships,2010 German Badminton Championships,badminton,2009 German Badminton Championships – Men's singles,Bielefeld,2009-01-01,national championship,2008 German Badminton Championships
2003 German Badminton Championships,2004 German Badminton Championships,badminton,2003 German Badminton Championships – Men's singles,Bielefeld,2003-01-01,national championship,2002 German Badminton Championships
2005 German Badminton Championships,2006 German Badminton Championships,badminton,2005 German Badminton Championships – Men's singles,Bielefeld,2005-01-01,national championship,2004 German Badminton Championships
1999 German Badminton Championships,2000 German Badminton Championships,badminton,1999 German Badminton Championships – Men's singles,Bielefeld,1999-01-01,national championship,1998 German Badminton Championships
2000 German Badminton Championships,2001 German Badminton Championships,badminton,2000 German Badminton Championships – Men's singles,Bielefeld,2000-01-01,national championship,1999 German Badminton Championships
1993 German Badminton Championships,1994 German Badminton Championships,badminton,1993 German Badminton Championships – Men's singles,Mülheim an der Ruhr,1993-01-01,national championship,1992 German Badminton Championships
1996 German Badminton Championships,1997 German Badminton Championships,badminton,1996 German Badminton Championships – Men's singles,Hanover,1996-01-01,national championship,1995 German Badminton Championships
2012 German Badminton Championships,2013 German Badminton Championships,badminton,2012 German Badminton Championships – Men's singles,Bielefeld,2012-01-01,national championship,2011 German Badminton Championships
2013 German Badminton Championships,2014 German Badminton Championships,badminton,2013 German Badminton Championships – Men's singles,Bielefeld,2013-01-01,national championship,2012 German Badminton Championships
2008 German Badminton Championships,2009 German Badminton Championships,badminton,2008 German Badminton Championships – Men's singles,Bielefeld,2008-01-01,national championship,2007 German Badminton Championships
2007 German Badminton Championships,2008 German Badminton Championships,badminton,2007 German Badminton Championships – Men's singles,Bielefeld,2007-01-01,national championship,2006 German Badminton Championships
2011 German Badminton Championships,2012 German Badminton Championships,badminton,2011 German Badminton Championships – Men's singles,Bielefeld,2011-01-01,national championship,2010 German Badminton Championships
2004 German Badminton Championships,2005 German Badminton Championships,badminton,2004 German Badminton Championships – Men's singles,Bielefeld,2004-01-01,national championship,2003 German Badminton Championships
1992 German Badminton Championships,1993 German Badminton Championships,badminton,1992 German Badminton Championships – Men's singles,Mülheim an der Ruhr,1992-01-01,national championship,1991 German Badminton Championships
1991 German Badminton Championships,1992 German Badminton Championships,badminton,1991 German Badminton Championships – Men's singles,Duisburg,1991-01-01,national championship,1990 German Badminton Championships
