col0,col1,col2,col3
San Francisco–Oakland Bay Bridge,place listed on the National Register of Historic Places,1933-07-09,multi-level bridge
Connel Bridge,category B listed building,1903-05-09,railway bridge
Poughkeepsie Bridge,place listed on the National Register of Historic Places,1888-12-29,railway bridge
Quebec Bridge,national historic site of Canada,1918-01-01,railway bridge
San Francisco–Oakland Bay Bridge,place listed on the National Register of Historic Places,1933-07-09,railway bridge
Rendsburg High Bridge,Kulturdenkmal,1913-01-01,railway bridge
Forth Bridge,UNESCO World Heritage Site,1890-01-01,railway bridge
Poughkeepsie Bridge,place listed on the National Register of Historic Places,1888-12-29,footbridge
Connel Bridge,category B listed building,1903-05-09,road bridge
Rainbow Bridge,place listed on the National Register of Historic Places,1938-09-08,road bridge
Lewis and Clark Bridge,place listed on the National Register of Historic Places,1930-03-29,road bridge
Pasco–Kennewick Bridge,place listed on the National Register of Historic Places,1922-01-01,road bridge
Quebec Bridge,national historic site of Canada,1918-01-01,road bridge
