col0,col1,col2,col3,col4,col5
Sappho Painter,white ground technique,Classical Athens,attic vase-painting,Ancient Greek,black-figure vase painter
Painter of the Aachen horsehead,archaic sculpture,Classical Athens,attic vase-painting,Ancient Greek,black-figure vase painter
Group of Walters 48.42,archaic sculpture,Classical Athens,attic vase-painting,Ancient Greek,black-figure vase painter
Bellerophon Painter,archaic sculpture,Classical Athens,attic vase-painting,Ancient Greek,black-figure vase painter
Sappho Painter,black-figure pottery,Classical Athens,black-figure pottery,Ancient Greek,white-groud vase-painter
Varrese Painter,art of Classical Greece,Apulia,Apulian vase painting,Ancient Greek,Apulian vase-painter
Lucera Painter,Apulian vase painting,Apulia,Apulian vase painting,Ancient Greek,Apulian vase-painter
Sappho Painter,white ground technique,Classical Athens,black-figure pottery,Ancient Greek,attic vase-painter
Painter of the Aachen horsehead,archaic sculpture,Classical Athens,black-figure pottery,Ancient Greek,attic vase-painter
Group of Walters 48.42,archaic sculpture,Classical Athens,black-figure pottery,Ancient Greek,attic vase-painter
Bellerophon Painter,archaic sculpture,Classical Athens,black-figure pottery,Ancient Greek,attic vase-painter
Sappho Painter,black-figure pottery,Classical Athens,black-figure pottery,Ancient Greek,attic vase-painter
