col0,col1,col2,col3
Argentine KC-130H fleet,Argentine Hercules fleet,Argentina,KC-130H Hercules
Mirage III in Argentine service,Mirage in Argentine service,Argentina,Mirage IIIEA
Mirage 5 in Argentine service,Mirage in Argentine service,Argentina,Dagger A
Angolan MiG-21 fleet,MiG-21 fleet,Angola,MiG-21MF
Mirage 5 in Argentine service,Mirage in Argentine service,Argentina,Mirage 5
Argentine Bell 212 fleet,Argentine Huey fleet,Argentina,Bell 212
An-30 in Angolan service,Angolan An-26/30/32 fleet,Angola,An-30
An-32 in Angolan service,Angolan An-26/30/32 fleet,Angola,An-32
Mi-17 in Afghan service,Afghan Mi-8/17 fleet,Afghanistan,Mi-17
Mirage III in Argentine service,Mirage in Argentine service,Argentina,Mirage III
Mi-8 in Afghan service,Afghan Mi-8/17 fleet,Afghanistan,Mi-8
An-26 in Angolan service,Angolan An-26/30/32 fleet,Angola,An-26
Afghan Air Force An-26 fleet,Afghan Air Force An-24/26/30/32 fleet,Afghanistan,An-26
FT-7 in Bangladeshi service,F-7 in Bangladeshi service,Bangladesh,FT-7
FT-6 in Bangladeshi service,F-6 in Bangladeshi service,Bahrain,FT-6
