col0,col1,col2,col3,col4
New York State Senate,Albany,New York State Legislature,senate,New York
Ohio Senate,Ohio Statehouse,Ohio General Assembly,senate,Ohio
Vermont Senate,Montpelier,Vermont General Assembly,senate,Vermont
California State Senate,California State Capitol,California State Legislature,senate,California
Montana Senate,Helena,Montana Legislature,senate,Montana
Michigan Senate,Michigan State Capitol,Michigan Legislature,senate,Michigan
Connecticut Senate,Connecticut State Capitol,Connecticut General Assembly,senate,Connecticut
Missouri Senate,Missouri State Capitol,Missouri General Assembly,senate,Missouri
Minnesota Senate,Saint Paul,Minnesota Legislature,senate,Minnesota
Wyoming Senate,Wyoming State Capitol,Wyoming Legislature,senate,Wyoming
Delaware Senate,Delaware Legislative Hall,Delaware General Assembly,senate,Delaware
Senate of Canada,Centre Block,Parliament of Canada,senate,Canada
