col0,col1,col2,col3,col4
Bishopric of Ösel–Wiek,Bistum,1228-01-01,1560-01-01,Estonia
Bishopric of Merseburg,Bistum,1004-01-01,1565-01-01,Germany
Bishopric of Dorpat,Bistum,1224-01-01,1558-01-01,Livonian confederation
Bishopric of Cammin,Bistum,1248-01-01,1650-01-01,Holy Roman Empire
Electorate of Trier,Electoral Principate,0898-01-01,1801-01-01,Germany
Ancient Diocese of Toul,former Roman Catholic diocese,1048-01-01,1801-01-01,France
Electorate of Trier,state in the Holy Roman Empire,0898-01-01,1801-01-01,Germany
Archbishopric of Magdeburg,state in the Holy Roman Empire,1180-01-01,1680-01-01,Germany
Electorate of Mainz,state in the Holy Roman Empire,0780-01-01,1803-01-01,Holy Roman Empire
Bishopric of Brixen,Prince-Bishopric,1027-01-01,1803-01-01,Italy
Bishopric of Würzburg,Prince-Bishopric,1168-01-01,1803-01-01,Germany
Electorate of Trier,Prince-Bishopric,0898-01-01,1801-01-01,Germany
