col0,col1,col2,col3,col4,col5,col6,col7
Claiborne County,1802-01-01,William C. C. Claiborne,1299,county of Mississippi,Warren County,2.8,Claiborne Parish
Jefferson Davis County,1906-03-31,Jefferson Davis,1060,county of Mississippi,Simpson County,0.2,Jeff Davis County
Madison County,1828-01-29,James Madison,1922,county of Mississippi,Attala County,3.7,Madison Parish
Jefferson County,1799-04-02,Thomas Jefferson,1365,county of Mississippi,Franklin County,1.4,Jefferson Parish
Forrest County,1908-01-01,Nathan Bedford Forrest,1218,county of Mississippi,Pearl River County,0.8,Forest County
Madison County,1828-01-29,James Madison,1922,county of Mississippi,Yazoo County,3.7,Madison Parish
Covington County,1819-01-01,Leonard Covington,1075,county of Mississippi,Smith County,0.3,Covington
Marshall County,1836-01-01,John Marshall,1838,county of Mississippi,Lafayette County,0.5,Marshall County
Claiborne County,1802-01-01,William C. C. Claiborne,1299,county of Mississippi,Warren County,2.8,Claiborne County
Monroe County,1821-01-01,James Monroe,2000,county of Mississippi,Itawamba County,0.9,Monroe County
Lee County,1866-10-26,Robert E. Lee,1174,county of Mississippi,Union County,0.7,Lee County
Lawrence County,1814-01-01,James Lawrence,1129,county of Mississippi,Walthall County,1.2,Lawrence County
Madison County,1828-01-29,James Madison,1922,county of Mississippi,Hinds County,3.7,Madison County
