col0,col1,col2,col3,col4,col5,col6,col7
2012 Grand Prix d'Isbergues,2012 UCI Europe Tour,2013 Grand Prix d'Isbergues,John Degenkolb,2011 Grand Prix d'Isbergues,road bicycle racing,2012-09-16,1.1
2011 Grand Prix d'Isbergues,2010–11 UCI Europe Tour,2012 Grand Prix d'Isbergues,Stuart O'Grady,2010 Grand Prix d'Isbergues,road bicycle racing,2011-09-18,1.1
2010 Grand Prix d'Isbergues,2009–10 UCI Europe Tour,2011 Grand Prix d'Isbergues,Romain Feillu,2009 Grand Prix d'Isbergues,road bicycle racing,2010-09-19,1.1
2009 Grand Prix d'Isbergues,2009 French Road Cycling Cup,2010 Grand Prix d'Isbergues,Benoît Vaugrenard,2008 Grand Prix d'Isbergues,road bicycle racing,2009-09-20,1.1
2008 Grand Prix d'Isbergues,2008 French Road Cycling Cup,2009 Grand Prix d'Isbergues,Chris Anker Sørensen,2007 Grand Prix d'Isbergues,road bicycle racing,2008-09-21,1.1
2007 Grand Prix d'Isbergues,2007 French Road Cycling Cup,2008 Grand Prix d'Isbergues,Martin Elmiger,2006 Grand Prix d'Isbergues,road bicycle racing,2007-09-23,1.1
2006 Grand Prix d'Isbergues,2006 French Road Cycling Cup,2007 Grand Prix d'Isbergues,Philippe Gilbert,2005 Grand Prix d'Isbergues,road bicycle racing,2006-09-17,1.1
2014 Grand Prix d'Isbergues,2014 UCI Europe Tour,2015 Grand Prix d'Isbergues,Heinrich Haussler,2013 Grand Prix d'Isbergues,road bicycle racing,2014-09-21,Grand Prix d'Isbergues
2013 Grand Prix d'Isbergues,2013 UCI Europe Tour,2014 Grand Prix d'Isbergues,John Degenkolb,2012 Grand Prix d'Isbergues,road bicycle racing,2013-09-22,Grand Prix d'Isbergues
2012 Grand Prix d'Isbergues,2012 UCI Europe Tour,2013 Grand Prix d'Isbergues,John Degenkolb,2011 Grand Prix d'Isbergues,road bicycle racing,2012-09-16,Grand Prix d'Isbergues
2011 Grand Prix d'Isbergues,2010–11 UCI Europe Tour,2012 Grand Prix d'Isbergues,Stuart O'Grady,2010 Grand Prix d'Isbergues,road bicycle racing,2011-09-18,Grand Prix d'Isbergues
2010 Grand Prix d'Isbergues,2009–10 UCI Europe Tour,2011 Grand Prix d'Isbergues,Romain Feillu,2009 Grand Prix d'Isbergues,road bicycle racing,2010-09-19,Grand Prix d'Isbergues
2009 Grand Prix d'Isbergues,2009 French Road Cycling Cup,2010 Grand Prix d'Isbergues,Benoît Vaugrenard,2008 Grand Prix d'Isbergues,road bicycle racing,2009-09-20,Grand Prix d'Isbergues
2008 Grand Prix d'Isbergues,2008 French Road Cycling Cup,2009 Grand Prix d'Isbergues,Chris Anker Sørensen,2007 Grand Prix d'Isbergues,road bicycle racing,2008-09-21,Grand Prix d'Isbergues
