col0,col1,col2,col3,col4,col5
Valdejalón,933.3,Zaragoza Province,La Almunia de Doña Godina,Spain,comarca of Aragon
Ribera Baja del Ebro,989.9,Zaragoza Province,Quinto,Spain,comarca of Aragon
Tarazona y el Moncayo,452.4,Zaragoza Province,Tarazona,Spain,comarca of Aragon
Gúdar-Javalambre,2351.6,Teruel Province,Mora de Rubielos,Spain,comarca of Aragon
Matarraña/Matarranya,933,Teruel Province,Valderrobres,Spain,comarca of Aragon
La Litera,733.9,Huesca Province,Binéfar,Spain,comarca of Aragon
Ribagorza,2459.8,Huesca Province,Graus,Spain,comarca of Aragon
Ribera Alta del Ebro,416,Zaragoza Province,Alagón,Spain,comarca of Aragon
Somontano de Barbastro,1166.6,Huesca Province,Barbastro,Spain,comarca of Aragon
Sobrarbe,2202.7,Huesca Province,Boltaña,Spain,comarca of Aragon
Monegros,2764.9,Huesca Province,Sariñena,Spain,comarca of Aragon
Cuencas Mineras,1407.6,Teruel Province,Utrillas,Spain,comarca of Aragon
Comunidad de Calatayud,2518,Zaragoza Province,Calatayud,Spain,comarca of Aragon
