col0,col1,col2,col3,col4
QSO B0548-322,-32.2712468495935,Columba,ACO S 549,20655
2MASXI J0810546+491103,49.1843944664429,Lynx,[KMA2007] 122.72750+49.18436,32426
Centaurus A,-43.019112667361,Centaurus,[TSK2008] 240,552
NGC 4380,10.0167056,Virgo,[TSK2008] 1,956
NGC 1132,-1.274722,Eridanus,[T2015] nest 200158,6958
Centaurus A,-43.019112667361,Centaurus,[T2015] nest 100350,552
NGC 4380,10.0167056,Virgo,[T2015] nest 100002,956
NGC 1132,-1.274722,Eridanus,[DZ2015b] 545,6958
Centaurus A,-43.019112667361,Centaurus,[CHM2007] LDC 993,552
NGC 4380,10.0167056,Virgo,[CHM2007] LDC 904,956
NGC 1132,-1.274722,Eridanus,[CHM2007] LDC 202,6958
Centaurus A,-43.019112667361,Centaurus,[CHM2007] HDC 790,552
NGC 4380,10.0167056,Virgo,[CHM2007] HDC 720,956
NGC 1132,-1.274722,Eridanus,[CHM2007] HDC 182,6958
Markarian 501,39.760169151611,Hercules,Abell 2199,9888
