col0,col1,col2,col3,col4,col5,col6
Tureen,Cleveland Museum of Art Open Access project,Cleveland Museum of Art,Juste-Aurèle Meissonnier,public domain,item of collection or exhibition,Tureen
Coffee Pot,Cleveland Museum of Art Open Access project,Cleveland Museum of Art,Louis Rorimer,copyrighted,item of collection or exhibition,Coffee Pot (lid)
Tea Caddy,Cleveland Museum of Art Open Access project,Cleveland Museum of Art,Paul de Lamerie,public domain,item of collection or exhibition,Tea Caddy
Teapot,Cleveland Museum of Art Open Access project,Cleveland Museum of Art,Ebenezer Moulton,public domain,item of collection or exhibition,Teapot
Tongs,Cleveland Museum of Art Open Access project,Cleveland Museum of Art,Louis Rorimer,copyrighted,item of collection or exhibition,Tongs
Coffee Pot,Cleveland Museum of Art Open Access project,Cleveland Museum of Art,Louis Rorimer,copyrighted,item of collection or exhibition,Coffee Pot
Cup,Cleveland Museum of Art Open Access project,Cleveland Museum of Art,Peter Bateman,public domain,item of collection or exhibition,Cup (lid)
Dessert Fork with Hunt Scenes,Cleveland Museum of Art Open Access project,Cleveland Museum of Art,Paul Storr,public domain,item of collection or exhibition,Dessert Fork with Hunt Scenes
Candelabrum,Cleveland Museum of Art Open Access project,Cleveland Museum of Art,Peter Carl Fabergé,public domain,item of collection or exhibition,Candelabrum
Covered Soup Tureen,Cleveland Museum of Art Open Access project,Cleveland Museum of Art,Henri Auguste,public domain,item of collection or exhibition,Covered Soup Tureen
Teapot,Cleveland Museum of Art Open Access project,Cleveland Museum of Art,Louis Rorimer,copyrighted,item of collection or exhibition,Teapot (lid)
