col0,col1,col2,col3,col4,col5,col6,col7
Esmeraldas,province of Ecuador,prefect,491168,Spanish,1847-11-20,San Lorenzo Canton,184
Cañar Province,province of Ecuador,prefect,225184,Spanish,1880-11-03,Suscal Canton,2342
Cotopaxi Province,province of Ecuador,prefect,458581,Spanish,1851-04-01,Pujilí Canton,3984
Chimborazo Province,province of Ecuador,prefect,458581,Spanish,1824-06-25,Colta Canton,3642
Azuay Province,province of Ecuador,prefect,881394,Spanish,1824-06-25,Camilo Ponce Enríquez Canton,2500
Cañar Province,province of Ecuador,prefect,225184,Spanish,1880-11-03,Biblián Canton,2342
Guayas Province,province of Ecuador,prefect,3645483,Spanish,1824-06-25,Naranjal Canton,15
Imbabura Province,province of Ecuador,prefect,398244,Spanish,1824-06-25,San Miguel de Urcuquí Canton,2500
Orellana Province,province of Ecuador,prefect,136396,Spanish,1998-07-28,Cantón Joya de los Sachas,232
Sucumbíos Province,province of Ecuador,prefect,230503,Secoya,1989-02-13,Cascales Canton,303
Imbabura Province,province of Ecuador,prefect,398244,Spanish,1824-06-25,Pimampiro Canton,2500
Carchi Province,province of Ecuador,prefect,164524,Spanish,1880-11-19,San Pedro de Huaca Canton,3790
