col0,col1,col2,col3,col4
2009 Internazionali BNL d'Italia,tennis tournament edition,2009-01-01,2010 Internazionali BNL d'Italia,Italy
1989 Italian Open,tennis tournament edition,1989-01-01,1990 Peugeot Italian Open,Italy
2012 Internazionali BNL d'Italia,tennis tournament edition,2012-01-01,2013 Internazionali BNL d'Italia,Italy
1979 Italian Open,WTA Rome,1979-01-01,1980 Italian Open,Italy
2018 Italian Open,Italian Open,2018-01-01,2019 Italian Open (tennis),Italy
2017 Internazionali BNL d'Italia,Italian Open,2017-01-01,2018 Italian Open (tennis),Italy
2016 Internazionali BNL d'Italia,Italian Open,2016-01-01,2017 Internazionali BNL d'Italia,Italy
2015 Internazionali BNL d'Italia,Italian Open,2015-01-01,2016 Internazionali BNL d'Italia,Italy
2014 Internazionali BNL d'Italia,Italian Open,2014-01-01,2015 Internazionali BNL d'Italia,Italy
1986 Italian Open,Italian Open,1986-01-01,1987 Italian Open (tennis),Italy
2013 Internazionali BNL d'Italia,Italian Open,2013-01-01,2014 Internazionali BNL d'Italia,Italy
1995 Italian Open,Italian Open,1995-01-01,1996 Italian Open,Italy
