col0,col1,col2,col3
Société Générale des Transports Aériens flight lost at sea,Société Générale des Transports Aériens,F.61 Goliath,Saint-Louis Airport
1961 Ndola United Nations DC-6 crash,Transair Sweden,DC-6B,Lubumbashi International Airport
Hurst air disaster,Air Union,Blériot 155 no. 2,Paris–Le Bourget Airport
Varig Flight 820,Varig,Boeing 707,Rio de Janeiro/Galeão – Antonio Carlos Jobim International Airport
TransAsia Airways Flight 235,TransAsia Airways,ATR 72-600,Taipei Songshan Airport
Caungula air disaster,Trans Service Airlift,L-188C Electra,N'djili Airport
2014 Algerian Air Force C-130 crash,Algerian Air Force,C-130H-30 Hercules,Tamanrasset
Air India Express Flight 812,Air India Express,Boeing 737-800,Dubai International Airport
China Southern Airlines Flight 3943,China Southern Airlines,Boeing 737-300,Guangzhou Baiyun International Airport
TransAsia Airways Flight 222,TransAsia Airways,ATR 72,Kaohsiung International Airport
1929 Fokker F.32 crash,Fokker,F.32 c/n 1201,Roosevelt Field
Paddock Wood plane crash,Air Union,F.60 no. 24,Croydon Airport
Lion Air Flight 610,Lion Air,Boeing 737 MAX,Soekarno–Hatta International Airport
