col0,col1,col2,col3,col4,col5,col6,col7
1911 Canadian federal election,Robert Borden,Prime Minister of Canada,Canada,1917 Canadian federal election,1908 Canadian federal election,Canadian federal general election,1911-09-21
1965 Canadian federal election,Lester B. Pearson,Prime Minister of Canada,Canada,1968 Canadian federal election,1963 Canadian federal election,Canadian federal general election,1965-11-08
1958 Canadian federal election,John Diefenbaker,Prime Minister of Canada,Canada,1962 Canadian federal election,1957 Canadian federal election,Canadian federal general election,1958-03-31
1930 Canadian federal election,R. B. Bennett,Prime Minister of Canada,Canada,1935 Canadian federal election,1926 Canadian federal election,Canadian federal general election,1930-07-28
1896 Canadian federal election,Wilfrid Laurier,Prime Minister of Canada,Canada,1900 Canadian federal election,1891 Canadian federal election,Canadian federal general election,1896-06-23
1926 Canadian federal election,William Lyon Mackenzie King,Prime Minister of Canada,Canada,1930 Canadian federal election,1925 Canadian federal election,Canadian federal general election,1926-09-14
2004 Canadian federal election,Paul Martin,Prime Minister of Canada,Canada,2006 Canadian federal election,2000 Canadian federal election,Canadian federal general election,2004-06-28
1940 Canadian federal election,William Lyon Mackenzie King,Prime Minister of Canada,Canada,1945 Canadian federal election,1935 Canadian federal election,Canadian federal general election,1940-03-26
1984 Canadian federal election,Brian Mulroney,Prime Minister of Canada,Canada,1988 Canadian federal election,1980 Canadian federal election,Canadian federal general election,1984-09-04
1974 Canadian federal election,Pierre Trudeau,Prime Minister of Canada,Canada,1979 Canadian federal election,1972 Canadian federal election,Canadian federal general election,1974-07-08
