col0,col1,col2,col3,col4
square La Fontaine,1926-01-01,9,France,garden square
square Jules-Chéret,1934-01-01,13,France,garden square
square Jean-Paul-Laurens,1928-01-01,15.5,France,garden square
square Henry-Paté,1929-01-01,6.8,France,garden square
square Got,1934-01-01,14,France,garden square
square Fernand-de-la-Tombelle,1929-01-01,7.5,France,garden square
square Emmanuel-Chabrier,1929-01-01,6.5,France,garden square
square Charles-Laurent,1930-01-01,11,France,garden square
square Brizeux,1934-01-01,10,France,garden square
square Auguste-Renoir,1962-01-01,9,France,garden square
square Arago,1912-01-01,12,France,garden square
square Antoine-Arnauld,1908-01-01,12,France,garden square
