col0,col1,col2,col3
"Sacred Heart Church, Budapest District VIII",Romanesque Revival architecture,Roman Catholic Archdiocese of Esztergom-Budapest,jesuit church
"Church of San Ildefonso, Toledo",baroque architecture,Roman Catholic Archdiocese of Toledo,jesuit church
"Collegiate church of San Luis, Villagarcía de Campos",Renaissance architecture,Roman Catholic Archdiocese of Valladolid,jesuit church
"Church of San Francisco Javier, Tepotzotlán",baroque architecture,Roman Catholic Diocese of Izcalli,jesuit church
"Jesuit Church, Bratislava",Baroque,Roman Catholic Archdiocese of Bratislava,jesuit church
La Compañia Church,New Spanish Baroque,Roman Catholic Archdiocese of Puebla,jesuit church
Iglesia de San Isidoro,baroque architecture,Roman Catholic Archdiocese of Oviedo,jesuit church
"Church of Santo Cristo de la Salud, Málaga",baroque architecture,Roman Catholic Diocese of Málaga,jesuit church
Church of the Anunciation,Renaissance architecture,Roman Catholic Archdiocese of Seville,jesuit church
Church of the Jesuits,baroque architecture,Roman Catholic Archdiocese of Malta,jesuit church
San Isidro Church,baroque architecture,Roman Catholic Archdiocese of Madrid,jesuit church
Church of Our Lady of the Snows,baroque architecture,Roman Catholic Archdiocese of Olomouc,jesuit church
