col0,col1,col2,col3,col4,col5,col6
palladium-128,isotope of palladium,82,-44490,394,palladium,127.952238
palladium-126,isotope of palladium,80,-51860,230,palladium,125.944326
palladium-125,isotope of palladium,79,-54120,230,palladium,124.9419
palladium-124,isotope of palladium,78,-58390,38,palladium,123.937316
palladium-123,isotope of palladium,77,-60429.742,174,palladium,122.935126
palladium-122,isotope of palladium,76,-64616.161,175,palladium,121.930631694
palladium-121,isotope of palladium,75,-66182.329,285,palladium,120.928950343
palladium-120,isotope of palladium,74,-70280.05,0.5,palladium,119.924551258
palladium-119,isotope of palladium,73,-71407.902,0.92,palladium,118.923340459
palladium-118,isotope of palladium,72,-75388.746,1.9,palladium,117.919066847
palladium-117,isotope of palladium,71,-76424.477,4.3,palladium,116.917954944
palladium-116,isotope of palladium,70,-79831.635,11.8,palladium,115.91429721
palladium-115,isotope of palladium,69,-80426.386,25,palladium,114.913658718
palladium-114,isotope of palladium,68,-83490.943,2.42,palladium,113.91036878
