col0,col1,col2,col3,col4,col5,col6,col7
Berks County,Berks County,county of Pennsylvania,Berkshire,Reading,United States of America,Chester County,"National Register of Historic Places listings in Berks County, Pennsylvania"
Cambria County,Cambria County,county of Pennsylvania,Cambria,Ebensburg,United States of America,Somerset County,"National Register of Historic Places listings in Cambria County, Pennsylvania"
Carbon County,Carbon County,county of Pennsylvania,coal,Jim Thorpe,United States of America,Lehigh County,"National Register of Historic Places listings in Carbon County, Pennsylvania"
Columbia County,Columbia County,county of Pennsylvania,Christopher Columbus,Bloomsburg,United States of America,Northumberland County,"National Register of Historic Places listings in Columbia County, Pennsylvania"
Dauphin County,Dauphin County,county of Pennsylvania,"Louis Joseph, Dauphin of France",Harrisburg,United States of America,Lancaster County,"National Register of Historic Places listings in Dauphin County, Pennsylvania"
Bradford County,Bradford County,county of Pennsylvania,William Bradford,Towanda,United States of America,Tioga County,"National Register of Historic Places listings in Bradford County, Pennsylvania"
Fayette County,Fayette County,county of Pennsylvania,"Gilbert du Motier, Marquis de Lafayette",Uniontown,United States of America,Monongalia County,"National Register of Historic Places listings in Fayette County, Pennsylvania"
Erie County,Erie County,county of Pennsylvania,Lake Erie,Erie,United States of America,Chautauqua County,"National Register of Historic Places listings in Erie County, Pennsylvania"
Butler County,Butler County,county of Pennsylvania,Richard Butler,Butler,United States of America,Allegheny County,"National Register of Historic Places listings in Butler County, Pennsylvania"
Montgomery County,Montgomery County,county of Pennsylvania,Montgomeryshire,Norristown,United States of America,Chester County,"National Register of Historic Places listings in Montgomery County, Pennsylvania"
