col0,col1,col2,col3,col4,col5,col6
2012 Citi Open,tennis,2013 Citi Open,2011 Legg Mason Tennis Classic,United States of America,2012 Citi Open – Men's Singles,Women's Tennis Association
2013 Citi Open,tennis,2014 Citi Open,2012 Citi Open,United States of America,2013 Citi Open (women),Association of Tennis Professionals
2008 Legg Mason Tennis Classic,tennis,2009 Legg Mason Tennis Classic,2007 Legg Mason Tennis Classic,United States of America,2008 Legg Mason Tennis Classic – Doubles,Association of Tennis Professionals
2012 Citi Open,tennis,2013 Citi Open,2011 Legg Mason Tennis Classic,United States of America,2012 Citi Open (men),Association of Tennis Professionals
2010 Legg Mason Tennis Classic,tennis,2011 Legg Mason Tennis Classic,2009 Legg Mason Tennis Classic,United States of America,2010 Legg Mason Tennis Classic – Singles,Association of Tennis Professionals
2012 Citi Open,tennis,2013 Citi Open,2011 Legg Mason Tennis Classic,United States of America,2012 Citi Open – Men's Singles,Association of Tennis Professionals
2015 Citi Open,tennis,2016 Citi Open,2014 Citi Open,United States of America,2015 Citi Open (women),Women's Tennis Association
2014 Citi Open,tennis,2015 Citi Open,2013 Citi Open,United States of America,2014 Citi Open – Women's Singles,Women's Tennis Association
2015 Citi Open,tennis,2016 Citi Open,2014 Citi Open,United States of America,2015 Citi Open (women),Association of Tennis Professionals
2014 Citi Open,tennis,2015 Citi Open,2013 Citi Open,United States of America,2014 Citi Open – Women's Singles,Association of Tennis Professionals
