col0,col1,col2,col3,col4,col5,col6,col7
Whiskeytown-Shasta-Trinity National Recreation Area,Trinity County,National Park System unit,IUCN category V: Protected Landscape/Seascape,1965-11-08,Redding,United States of America,National Park Service
Santa Monica Mountains National Recreation Area,Los Angeles County,National Park System unit,IUCN category V: Protected Landscape/Seascape,1978-11-10,Malibu,United States of America,National Park Service
Lake Roosevelt National Recreation Area,Washington,National Park System unit,IUCN category V: Protected Landscape/Seascape,1946-04-01,Spokane,United States of America,National Park Service
Lake Mead National Recreation Area,Mohave County,National Park System unit,IUCN category V: Protected Landscape/Seascape,1936-10-13,Boulder City,United States of America,National Park Service
Curecanti National Recreation Area,Gunnison County,National Park System unit,IUCN category V: Protected Landscape/Seascape,1965-02-06,Gunnison,United States of America,National Park Service
Bighorn Canyon National Recreation Area,Big Horn County,National Park System unit,IUCN category V: Protected Landscape/Seascape,1966-10-15,Billings,United States of America,National Park Service
Ross Lake National Recreation Area,Washington,National Park System unit,IUCN category V: Protected Landscape/Seascape,1968-02-02,Newhalem,United States of America,National Park Service
Whiskeytown-Shasta-Trinity National Recreation Area,Trinity County,National Recreation Area,IUCN category V: Protected Landscape/Seascape,1965-11-08,Redding,United States of America,National Park Service
Santa Monica Mountains National Recreation Area,Los Angeles County,National Recreation Area,IUCN category V: Protected Landscape/Seascape,1978-11-10,Malibu,United States of America,National Park Service
Lake Roosevelt National Recreation Area,Washington,National Recreation Area,IUCN category V: Protected Landscape/Seascape,1946-04-01,Spokane,United States of America,National Park Service
Lake Mead National Recreation Area,Mohave County,National Recreation Area,IUCN category V: Protected Landscape/Seascape,1936-10-13,Boulder City,United States of America,National Park Service
Flaming Gorge National Recreation Area,Utah,National Recreation Area,IUCN category V: Protected Landscape/Seascape,1968-10-01,Green River,United States of America,United States Forest Service
