col0,col1,col2,col3,col4
Cornwall,Cornwall,565968,Cornwall Council,county council area
East Riding of Yorkshire,East Riding of Yorkshire,339614,East Riding of Yorkshire Council,county council area
Staffordshire,Staffordshire,875219,Staffordshire County Council,county council area
Shropshire,Shropshire,320274,Shropshire Council,county council area
Wiltshire,Wiltshire,498064,Wiltshire Council,county council area
Somerset,Somerset,559399,Somerset County Council,county council area
Gloucestershire,Gloucestershire,633558,Gloucestershire County Council,county council area
Devon,Devon,795286,Devon County Council,county council area
Kent,Kent,1568623,Kent County Council,county council area
Hampshire,Hampshire,1376316,Hampshire County Council,county council area
East Sussex,East Sussex,554590,East Sussex County Council,county council area
Buckinghamshire,Buckinghamshire,540059,Buckinghamshire County Council,county council area
Lancashire,Lancashire,1210053,Lancashire County Council,county council area
Leicestershire,Leicestershire,698268,Leicestershire County Council,county council area
Nottinghamshire,Nottinghamshire,823126,Nottinghamshire County Council,county council area
