col0,col1,col2,col3,col4,col5,col6,col7
quai d'Ivry,quai Panhard-et-Levassor,France,pier,Ivry-sur-Seine,13th arrondissement of Paris,340,36
quai d'Issy-les-Moulineaux,place du Moulin-de-Javel,France,pier,Issy-les-Moulineaux,Paris,600,30
quai d'Anjou,quai de Bourbon,France,pier,Anjou,4th arrondissement of Paris,313,7
quai Saint-Exupéry,boulevard Murat,France,pier,Antoine de Saint-Exupery,16th arrondissement of Paris,630,18
quai Saint-Michel,quai des Grands-Augustins,France,pier,pont Saint-Michel,5th arrondissement of Paris,157,17
quai Panhard-et-Levassor,rue Neuve-Tolbiac,France,pier,René Panhard,13th arrondissement of Paris,680,16
quai de Valmy,rue du Faubourg-du-Temple,France,pier,Battle of Valmy,10th arrondissement of Paris,1720,11.5
quai de Montebello,quai de la Tournelle,France,pier,Jean Lannes,5th arrondissement of Paris,314,15
quai de Metz,quai de la Marne,France,pier,Metz,19th arrondissement of Paris,108,14
quai de Jemmapes,rue du Faubourg-du-Temple,France,pier,Battle of Jemappes,10th arrondissement of Paris,1615,11
quai de Bercy,port de Bercy,France,pier,Bercy,Bercy,1971,14
