col0,col1,col2,col3
astatine-215,1670089.47,130,0.1
astatine-214,1664142.324,129,558
astatine-213,1659270.639,128,125
astatine-212,1653248.08,127,0.314
astatine-211,1648195.694,126,7.214
astatine-210,1640449.23,125,8.1
astatine-209,1633288.393,124,5.41
astatine-208,1624804.48,123,1.63
astatine-207,1617490.548,122,1.81
astatine-206,1608621.658,121,30.6
astatine-205,1601092.435,120,26.9
astatine-204,1591924.608,119,9.12
astatine-203,1584140.544,118,7.4
astatine-202,1574497.282,117,182
astatine-201,1566624.753,116,85.2
