col0,col1,col2,col3
Adelaide Hills,1997-07-01,Adelaide Hills Council,District of Gumeracha
Onkaparinga,1997-03-06,City of Onkaparinga,Noarlunga
Adelaide Hills,1997-07-01,Adelaide Hills Council,Stirling
Mallala,1935-03-21,Adelaide Plains Council,Dublin
Gawler,1857-07-09,Corporation of the Town of Gawler,Munno Para West
Salisbury,1933-06-22,Corporation of the City of Salisbury,Munno Para West
Onkaparinga,1997-03-06,City of Onkaparinga,Willunga
West Torrens,1853-07-07,City of West Torrens,Town of Thebarton
Wakefield,1997-07-01,Wakefield Regional Council,Blyth-Snowtown
Holdfast Bay,1997-01-01,City of Holdfast Bay,City of Brighton
Charles Sturt,1997-01-01,City of Charles Sturt,City of Henley and Grange
"Norwood, Payneham and St Peters",1997-11-01,"City of Norwood, Payneham and St Peters",Kensington and Norwood
Barossa,1996-07-01,Barossa Council,Mount Pleasant
Charles Sturt,1997-01-01,City of Charles Sturt,City of Hindmarsh Woodville
