col0,col1,col2,col3
2020 Brazilian Grand Prix,2020 FIA Formula One World Championship,Autódromo José Carlos Pace,Brazilian Grand Prix
2019 Brazilian Grand Prix,2019 FIA Formula One World Championship,Autódromo José Carlos Pace,Brazilian Grand Prix
2018 Brazilian Grand Prix,2018 Formula One World Championship,Autódromo José Carlos Pace,Brazilian Grand Prix
2017 Brazilian Grand Prix,2017 Formula One season,Autódromo José Carlos Pace,Brazilian Grand Prix
2016 Brazilian Grand Prix,2016 Formula One season,Autódromo José Carlos Pace,Brazilian Grand Prix
2015 Brazilian Grand Prix,2015 Formula One season,Autódromo José Carlos Pace,Brazilian Grand Prix
2014 Brazilian Grand Prix,2014 Formula One season,Autódromo José Carlos Pace,Brazilian Grand Prix
2013 Brazilian Grand Prix,2013 Formula One season,Autódromo José Carlos Pace,Brazilian Grand Prix
1972 Brazilian Grand Prix,1972 Formula One season,Autódromo José Carlos Pace,Brazilian Grand Prix
Grand Prix F1 Brasil 2012,2012 Formula One season,Autódromo José Carlos Pace,Brazilian Grand Prix
2011 Brazilian Grand Prix,2011 Formula One season,Autódromo José Carlos Pace,Brazilian Grand Prix
2010 Brazilian Grand Prix,2010 Formula One season,Autódromo José Carlos Pace,Brazilian Grand Prix
2009 Brazilian Grand Prix,2009 Formula One season,Autódromo José Carlos Pace,Brazilian Grand Prix
2008 Brazilian Grand Prix,2008 Formula One season,Autódromo José Carlos Pace,Brazilian Grand Prix
