col0,col1,col2,col3,col4,col5
1987 Slovenian Badminton Championships,1988 Slovenian Badminton Championships,1987-01-01,1986 Slovenian Badminton Championships,WikiProject Badminton/tournament focus list,badminton
1986 Slovenian Badminton Championships,1987 Slovenian Badminton Championships,1986-01-01,1985 Slovenian Badminton Championships,WikiProject Badminton/tournament focus list,badminton
1985 Slovenian Badminton Championships,1986 Slovenian Badminton Championships,1985-01-01,1984 Slovenian Badminton Championships,WikiProject Badminton/tournament focus list,badminton
1984 Slovenian Badminton Championships,1985 Slovenian Badminton Championships,1984-01-01,1983 Slovenian Badminton Championships,WikiProject Badminton/tournament focus list,badminton
1983 Slovenian Badminton Championships,1984 Slovenian Badminton Championships,1983-01-01,1982 Slovenian Badminton Championships,WikiProject Badminton/tournament focus list,badminton
1982 Slovenian Badminton Championships,1983 Slovenian Badminton Championships,1982-01-01,1981 Slovenian Badminton Championships,WikiProject Badminton/tournament focus list,badminton
1981 Slovenian Badminton Championships,1982 Slovenian Badminton Championships,1981-01-01,1980 Slovenian Badminton Championships,WikiProject Badminton/tournament focus list,badminton
1980 Slovenian Badminton Championships,1981 Slovenian Badminton Championships,1980-01-01,1979 Slovenian Badminton Championships,WikiProject Badminton/tournament focus list,badminton
1979 Slovenian Badminton Championships,1980 Slovenian Badminton Championships,1979-01-01,1978 Slovenian Badminton Championships,WikiProject Badminton/tournament focus list,badminton
1978 Slovenian Badminton Championships,1979 Slovenian Badminton Championships,1978-01-01,1977 Slovenian Badminton Championships,WikiProject Badminton/tournament focus list,badminton
