col0,col1,col2,col3,col4,col5
Tempelheiligtum Zingsheim,Germany,Kulturdenkmal,Nettersheim,Zingsheim,Roman temple
Grote Kerk,Netherlands,Rijksmonument,Overbetuwe,Elst,Roman temple
Temple of Saturn,Tunisia,listed monument of Tunisia,Kassrine,Dougga,Roman temple
Capitoline temple in Dougga,Tunisia,listed monument of Tunisia,Kassrine,Dougga,Roman temple
Temple of Pluto,Tunisia,listed monument of Tunisia,Kassrine,Dougga,Roman temple
Temple of Juno Caelestis,Tunisia,listed monument of Tunisia,Kassrine,Dougga,Roman temple
Temple of Portunus,Italy,Italian national heritage,Rome,Forum Boarium,Roman temple
Roman Temple of Évora,Portugal,National Monument of Portugal,"União das Freguesias de Évora (São Mamede, Sé, São Pedro e Santo Antão)",Lusitania,Roman temple
Temple of Portunus,Italy,Italian national heritage,Rome,Forum Boarium,archaeological site
Roman Temple of Évora,Portugal,National Monument of Portugal,"União das Freguesias de Évora (São Mamede, Sé, São Pedro e Santo Antão)",Lusitania,cultural heritage
Temple of Portunus,Italy,Italian national heritage,Rome,Forum Boarium,temple
Grote Kerk,Netherlands,Rijksmonument,Overbetuwe,Elst,church building
Temple of Mercury,Tunisia,listed monument of Tunisia,Medenine Governorate,Gigthis,Roman temple
