col0,col1,col2,col3
Swains Island,17,American Samoa,Tokelau
Kokkina,396,Lefke District,Turkish Republic of Northern Cyprus
Western Sahara,553000,Sahrawi Arab Democratic Republic,Morocco
Melilla,86487,Spain,Morocco
Ceuta,84777,Spain,Morocco
Juan de Nova Island,15,Scattered Islands in the Indian Ocean,Madagascar
Europa Island,15,Scattered Islands in the Indian Ocean,Madagascar
Gilgit-Baltistan,1155755,Pakistan,Taiwan
Phú Quốc,70000,Kiên Giang,Cambodia
Alexander Island,0,Antarctic Treaty area,Argentina
South Georgia and the South Sandwich Islands,30,British Overseas Territories,Argentina
Alexander Island,0,Antarctic Treaty area,Chile
Kokkina,396,Lefke District,Republic of Cyprus
Dubăsari,28500,Transnistria autonomous territorial unit,Moldova
Alexander Island,0,Antarctic Treaty area,United Kingdom
