col0,col1,col2,col3,col4
formate anion,44.997654,formic acid,formate salt,carboxylate anion
malonate,103.003,malonic acid,malonate catabolic process,carboxylate anion
carbamate ion,60.009,carbamic acid,response to carbamate,carboxylate anion
acrylate,71.013,acrylic acid,acrylate salt,carboxylate anion
glyoxylate,72.992569,glyoxylic acid,glyoxylate catabolic process,carboxylate anion
oleate,281.248055,oleic acid,oleic acid binding,carboxylate anion
glycolate anion,75.008219,glycolic acid,glycolate metabolic process,carboxylate anion
phosphoenolpyruvate,166.974549,2-(phosphonooxy)-2-propenoic acid,phosphoenolpyruvate transport,carboxylate anion
gallate,169.013698,gallic acid,gallate metabolic process,carboxylate anion
2-oxobutanoate,101.023869,α-ketobutyric acid,2-oxobutyrate biosynthetic process,carboxylate anion
benzoate,121.028954,benzoic acid,benzoate metabolic process,carboxylate anion
