col0,col1,col2,col3,col4,col5,col6
Numel,70,24,Pokémon universe,yellow,list of Pokémon introduced in Generation III,fire-type Pokémon
Arceus,320,320,Pokémon universe,gray,list of Pokémon introduced in Generation IV,dragon-type Pokémon
Flygon,200,82,Pokémon universe,green,list of Pokémon introduced in Generation III,dragon-type Pokémon
Garchomp,190,95,Pokémon universe,blue,list of Pokémon introduced in Generation IV,dragon-type Pokémon
Arceus,320,320,Pokémon universe,gray,list of Pokémon introduced in Generation IV,psychic-type Pokémon
Nidoqueen,130,60,Pokémon universe,blue,list of Pokémon introduced in Generation I,ground-type Pokémon
Sandshrew,60,12,Pokémon universe,yellow,list of Pokémon introduced in Generation I,ground-type Pokémon
Arceus,320,320,Pokémon universe,gray,list of Pokémon introduced in Generation IV,ground-type Pokémon
Flygon,200,82,Pokémon universe,green,list of Pokémon introduced in Generation III,ground-type Pokémon
Groudon,350,950,Pokémon universe,red,list of Pokémon introduced in Generation III,ground-type Pokémon
Garchomp,190,95,Pokémon universe,blue,list of Pokémon introduced in Generation IV,ground-type Pokémon
Arceus,320,320,Pokémon universe,gray,list of Pokémon introduced in Generation IV,electric-type Pokémon
Nidoqueen,130,60,Pokémon universe,blue,list of Pokémon introduced in Generation I,poison-type Pokémon
