col0,col1,col2,col3,col4
2019 Strade Bianche,Siena,2019 UCI World Tour,184,2020 Strade Bianche
Omloop Het Nieuwsblad 2019,Ghent,2019 UCI World Tour,200,2020 Omloop Het Nieuwsblad
2019 Cadel Evans Great Ocean Road Race,Geelong,2019 UCI World Tour,164,2020 Cadel Evans Great Ocean Road Race
2019 Tour of Flanders,Antwerp,2019 UCI World Tour,270.1,2020 Tour of Flanders
EuroEyes Cyclassics 2019,Hamburg,2019 UCI World Tour,216,EuroEyes Cyclassics 2020
2018 Il Lombardia,Bergamo,2018 UCI World Tour,241,2019 Il Lombardia
2018 Grand Prix Cycliste de Montréal,Montreal,2018 UCI World Tour,195.2,2019 Grand Prix Cycliste de Montréal
2018 Grand Prix Cycliste de Québec,Quebec City,2018 UCI World Tour,201.6,2019 Grand Prix Cycliste de Québec
2018 EuroEyes Cyclassics,Hamburg,2018 UCI World Tour,216.4,EuroEyes Cyclassics 2019
2018 RideLondon-Surrey Classic,St. James's Park,2018 UCI World Tour,183,2019 RideLondon–Surrey Classic
2018 Clásica de San Sebastián,Donostia-San Sebastian,2018 UCI World Tour,229,San Sebastián Classic 2019
2018 Eschborn–Frankfurt,Eschborn,2018 UCI World Tour,212.5,2019 Eschborn–Frankfurt
2018 Liège–Bastogne–Liège,Liège,2018 UCI World Tour,258.5,Liège–Bastogne–Liège 2019
2018 La Flèche Wallonne,Seraing,2018 UCI World Tour,198.5,2019 La Flèche Wallonne
