col0,col1,col2,col3,col4,col5,col6,col7
Gypsy,Cynthia Reynolds,Jessica Camacho,DC Universe,metahuman,precognition,Reynolds,Justice League
Elasti-Girl,Rita Farr,April Bowlby,DC Universe,metahuman,elasticity,Farr,Doom Patrol
Gypsy,Cynthia Reynolds,Jessica Camacho,DC Universe,comics character,precognition,Reynolds,Justice League
Elasti-Girl,Rita Farr,April Bowlby,DC Universe,comics character,elasticity,Farr,Doom Patrol
Gypsy,Cynthia Reynolds,Jessica Camacho,DC Universe,superhero,precognition,Reynolds,Justice League
Elasti-Girl,Rita Farr,April Bowlby,DC Universe,superhero,elasticity,Farr,Doom Patrol
Deathstroke,Slade Wilson,Manu Bennett,DC Universe,comics character,healing factor,Wilson,United States Army
Godspeed,August Heart,BD Wong,DC Universe,television character,healing factor,Heart,Rogues
Wallace West,Wallace Rudolph West II,Keiynan Lonsdale,DC Universe,television character,healing factor,West,Teen Titans
Lightning,Jennifer Pierce,China Anne McClain,DC Universe,television character,electrokinesis,Pierce,Justice Society of America
Godspeed,August Heart,BD Wong,DC Universe,metahuman,healing factor,Heart,Rogues
Wallace West,Wallace Rudolph West II,Keiynan Lonsdale,DC Universe,metahuman,healing factor,West,Teen Titans
Lightning,Jennifer Pierce,China Anne McClain,DC Universe,metahuman,electrokinesis,Pierce,Justice Society of America
