col0,col1,col2,col3,col4,col5,col6
Cala de Porroig,15,Sant Josep de sa Talaia,Mediterranean Sea,Spain,black sand beach,Ibiza
Pont de Baix,40,Sant Josep de sa Talaia,Mediterranean Sea,Spain,shingle beach,Ibiza
Caló d'es Macs,20,Cabrera,Mediterranean Sea,Spain,black sand beach,Cabrera
Estany d'Es Peix,10,Formentera,Mediterranean Sea,Spain,nude beach,Formentera
Platja del Coll Baix,50,Alcúdia,Mediterranean Sea,Spain,black sand beach,Majorca
Platja des Figueral,45,Santa Eulària des Riu,Mediterranean Sea,Spain,black sand beach,Ibiza
Caló D'Es Cans,10,Artà,Mediterranean Sea,Spain,black sand beach,Majorca
Cala Estreta,10,Artà,Mediterranean Sea,Spain,black sand beach,Majorca
Sa Calobra,10,Escorca,Mediterranean Sea,Spain,black sand beach,Majorca
Platja del Coll Baix,50,Alcúdia,Mediterranean Sea,Spain,shingle beach,Majorca
Caló D'Es Cans,10,Artà,Mediterranean Sea,Spain,shingle beach,Majorca
Cala Estreta,10,Artà,Mediterranean Sea,Spain,shingle beach,Majorca
