col0,col1,col2,col3
California Girls,The Little Girl I Once Knew,pop music,"Help Me, Rhonda"
The Door,Anthem for the Year 2000,grunge,Cemetery
Make Love Like a Man,Have You Ever Needed Someone So Bad,hard rock,Let's Get Rocked
Chillin,Paparazzi,hip hop music,LoveGame
I Wanna Go,Criminal,dance music,Till the World Ends
Do I,Rain Is a Good Thing,country music,Country Man
Pussy,Ich tu dir weh,Neue Deutsche Härte,Mann gegen Mann
Hit the Lights,Come & Get It,dance music,Love You like a Love Song
Stay,Pour It Up,rhythm and blues,Diamonds
Closer,Burn,industrial rock,March of the Pigs
Crazy Little Thing Called Love,Save Me,rockabilly,Love of My Life
