col0,col1,col2,col3,col4,col5
1921 European Rowing Championships,Kingdom of the Netherlands,1921-01-01,1921 European Rowing Championships – Men's single scull,1921-01-01,1921-01-01
1910 European Rowing Championships,Belgium,1910-08-15,1910 European Rowing Championships – Men's single scull,1910-08-15,1910-01-01
1905 European Rowing Championships,Belgium,1905-08-27,1905 European Rowing Championships – Men's single scull,1905-01-01,1905-01-01
1899 European Rowing Championships,Belgium,1899-01-01,1899 European Rowing Championships – Men's single scull,1899-01-01,1899-01-01
1895 European Rowing Championships,Belgium,1895-09-15,1895 European Rowing Championships – Men's single scull,1895-09-15,1895-01-01
2016 European Rowing Championships,Germany,2016-05-08,2016 European Rowing Championships – Women's single scull,2016-05-06,2016-01-01
1970 European Rowing Championships,Hungary,1970-01-01,1970 European Rowing Championships – Women's single scull,1970-01-01,1970-01-01
1969 European Rowing Championships,Austria,1969-01-01,1969 European Rowing Championships – Women's single scull,1969-01-01,1969-01-01
1964 European Rowing Championships,Kingdom of the Netherlands,1964-01-01,1964 European Rowing Championships – Women's single scull,1964-01-01,1964-01-01
1963 European Rowing Championships,Denmark,1963-08-18,1963 European Rowing Championships – Men's single scull,1963-08-14,1963-01-01
1962 European Rowing Championships,Germany,1962-01-01,1962 European Rowing Championships – Women's single scull,1962-01-01,1962-01-01
1957 European Rowing Championships,Germany,1957-01-01,1957 European Rowing Championships – Women's coxed quad scull,1957-01-01,1957-01-01
1947 European Rowing Championships,Switzerland,1947-01-01,1947 European Rowing Championships – Men's single scull,1947-01-01,1947-01-01
1934 European Rowing Championships,Switzerland,1934-01-01,1934 European Rowing Championships – Men's single scull,1934-01-01,1934-08-01
