col0,col1,col2,col3
1924 All England Badminton Championships,1925 All England Badminton Championships,London,Lindley Hall
1926 All England Badminton Championships,1927 All England Badminton Championships,London,Lindley Hall
1935 All England Badminton Championships,1936 All England Badminton Championships,London,Lindley Hall
1929 All England Badminton Championships,1930 All England Badminton Championships,London,Lindley Hall
1910 All England Badminton Championships,1911 All England Badminton Championships,London,Lindley Hall
1934 All England Badminton Championships,1935 All England Badminton Championships,London,Lindley Hall
1932 All England Badminton Championships,1933 All England Badminton Championships,London,Lindley Hall
1939 All England Badminton Championships,1947 All England Badminton Championships,London,Lindley Hall
1952 All England Badminton Championships,1953 All England Badminton Championships,London,Earls Court Exhibition Centre
1955 All England Badminton Championships,1956 All England Badminton Championships,London,Earls Court Exhibition Centre
1950 All England Badminton Championships,1951 All England Badminton Championships,London,Earls Court Exhibition Centre
1993 All England Badminton Championships,1994 All England Badminton Championships,London,Wembley Arena
1992 All England Badminton Championships,1993 All England Badminton Championships,London,Wembley Arena
