col0,col1,col2,col3,col4,col5,col6
Lima,9485405,Áncash,Lima Province,UTC−05:00,region of Peru,Peru
San Martín,813381,Loreto,San Martín Province,UTC−05:00,region of Peru,Peru
Cajamarca,1341012,Amazonas,San Pablo Province,UTC−05:00,region of Peru,Peru
Arequipa,1382730,Cusco,Arequipa Province,UTC−05:00,region of Peru,Peru
Cusco,1205527,Madre de Dios,Paruro Province,UTC−05:00,region of Peru,Peru
Tacna,329332,Arica y Parinacota Region,Jorge Basadre Province,UTC−05:00,region of Peru,Peru
La Libertad,1778080,Amazonas,Otuzco Province,UTC−05:00,region of Peru,Peru
Ayacucho,616176,Cusco,La Mar Province,UTC−05:00,region of Peru,Peru
Puno,1172697,Arequipa,Lampa Province,UTC−05:00,region of Peru,Peru
Cusco,1205527,Ayacucho,Chumbivilcas Province,UTC−05:00,region of Peru,Peru
Amazonas,379384,Loreto,Utcubamba Province,UTC−05:00,region of Peru,Peru
