col0,col1,col2,col3
Léo-Lagrange stadium,bien recensé dans l'inventaire général du patrimoine culturel,AS Poissy,stadium
Cleveland Stadium,place listed on the National Register of Historic Places,Cleveland Browns,stadium
stade des Trois Tilleuls,protected heritage site in Brussels,Royal Racing Club de Bruxelles,stadium
Civic Stadium,place listed on the National Register of Historic Places,South Eugene High School,stadium
Ownby Stadium,place listed on the National Register of Historic Places,National Collegiate Athletic Association,stadium
Olympic Stadium,place listed on the National Register of Historic Places,Grays Harbor Ports,stadium
Aztec Bowl,place listed on the National Register of Historic Places,San Diego State Aztecs football,stadium
Khimik Stadium in Tver,cultural heritage site in Russia,sports school,stadium
Stadium at Olympia,listed archaeological site in Greece,2004 Summer Olympics,stadium
Khimik Stadium in Tver,cultural heritage site in Russia,sports school,cultural heritage site in Russia
World War Memorial Stadium,place listed on the National Register of Historic Places,Piedmont League,stadium
Bassendean Oval,State Registered Place,Swan Districts Football Club,stadium
