col0,col1,col2,col3,col4,col5,col6
Glutamate ionotropic receptor NMDA type subunit 2C,glutamate-gated calcium ion channel activity,"Glutamate [NMDA] receptor, epsilon subunit, C-terminal",NMDA receptor,L-aspartic Acid,GRIN2C,protein
Ryanodine receptor 1,calmodulin binding,Ryanodine receptor Ryr,Ryanodine receptor,caffeine,RYR1,protein
Glycine receptor beta,transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential,"Neurotransmitter-gated ion-channel, conserved site",cysteine loop ligand-gated ion channel receptor,nifedipine,GLRB,protein
"Transient receptor potential cation channel, subfamily A, member 1",protein binding,Ion transport domain,TRPA,acetaldehyde,Trpa1,protein
Transient receptor potential cation channel subfamily A member 1,identical protein binding,Ion transport domain,TRPA,acetaldehyde,TRPA1,protein
Glutamate ionotropic receptor NMDA type subunit 2A,protein binding,"Glutamate [NMDA] receptor, epsilon subunit, C-terminal",NMDA receptor,L-aspartic Acid,GRIN2A,protein
Gamma-aminobutyric acid type A receptor subunit alpha2,transmembrane signaling receptor activity,"Neurotransmitter-gated ion-channel, conserved site",cysteine loop ligand-gated ion channel receptor,alprazolam,GABRA2,protein
Gamma-aminobutyric acid type A receptor subunit alpha3,protein binding,"Neurotransmitter-gated ion-channel, conserved site",cysteine loop ligand-gated ion channel receptor,alprazolam,GABRA3,protein
Ryanodine receptor 2,protein kinase binding,Ryanodine receptor Ryr,Ryanodine receptor 2,caffeine,RYR2,protein
Transient receptor potential cation channel subfamily A member 1,identical protein binding,Ion transport domain,TRPA,dibutyl phthalate,TRPA1,protein
Ryanodine receptor 2,protein binding,EF-hand domain,Ryanodine receptor,caffeine,RYR2,protein
"Inositol 1,4,5-trisphosphate receptor type 1",calcium ion binding,"Inositol 1,4,5-trisphosphate/ryanodine receptor domain",inositol trisphosphate receptor type 1,caffeine,ITPR1,protein
