col0,col1,col2,col3
Borj El Barmil,bastion,Morocco,Essaouira
Borj Es-Salam,bastion,Morocco,Tangier
Borj Lalla Qadiya,bastion,Morocco,Rabat
Wierickerschans,fort,Netherlands,Bodegraven-Reeuwijk
Borj Sirat,architectural structure,Morocco,Rabat
Fisherman's Bastion,terrace,Hungary,Budapest I. District
Mookerschans,sconce,Netherlands,Mook en Middelaar
Black Street's gate in Brașov,city gate,Romania,Brașov
Bastion VIII,bastion,Netherlands,Hellevoetsluis
Madakasira Bastion and Gateway,bastion,India,Anantapuram district
Borj Sirat,bastion,Morocco,Rabat
Bastion Saint-André,bastion,France,Antibes
Bastion V,bastion,Belgium,Dendermonde
